Step,AgentID,score_total,ai_dependency,dependency_phase,ai_tier,quota_balance,effective_ability,slots_used,deadline_miss_count,SES,base_ability,semester
1,0,0.0,0.016,1,2,298.6944417999838,72.22013535051592,1,0,mid,72.22013535051592,1
1,1,0.0,0.008,1,1,99.83228423885878,44.11039480107373,1,0,mid,44.11039480107373,1
1,2,0.0,0.0,1,0,0.0,45.77400119966881,0,0,high,45.77400119966881,1
1,3,0.0,0.0,1,2,0.0,58.131362269990305,0,0,low,58.131362269990305,1
1,4,0.0,0.0,1,2,0.0,43.51468468219812,0,0,low,43.51468468219812,1
1,5,0.0,0.008,1,1,99.48635524019714,48.55960648148632,2,0,mid,48.55960648148632,1
1,6,24.91881355731227,0.024,1,3,789.2182444507692,46.68401787745593,0,0,high,46.68401787745593,1
1,7,0.0,0.016,1,2,297.6668000306217,75.90439093632743,1,0,high,75.90439093632743,1
1,8,0.0,0.008,1,1,99.79844362815409,32.315497211979476,1,0,mid,32.315497211979476,1
1,9,0.0,0.0,1,0,0.0,63.590553275323586,0,0,mid,63.590553275323586,1
1,10,0.0,0.0,1,2,99.69521535639058,44.74221922540125,2,0,low,44.74221922540125,1
1,11,0.0,0.0,1,0,0.0,51.74379655045869,0,0,mid,51.74379655045869,1
1,12,0.0,0.0,1,0,0.0,38.82691156379115,0,0,mid,38.82691156379115,1
1,13,0.0,0.008,1,1,99.73508317268902,52.95166173299763,1,0,mid,52.95166173299763,1
1,14,0.0,0.0,1,0,0.0,29.633074645982923,0,0,mid,29.633074645982923,1
1,15,0.0,0.0,1,0,0.0,88.04661646039713,0,0,high,88.04661646039713,1
1,16,0.0,0.0,1,2,0.0,68.04699908920749,0,0,low,68.04699908920749,1
1,17,0.0,0.008,1,1,99.41069719320792,47.71271183123947,1,0,mid,47.71271183123947,1
1,18,0.0,0.024,1,3,795.8770212930881,51.36402058857905,1,0,high,51.36402058857905,1
1,19,0.0,0.0,1,2,0.0,31.71158323870106,0,0,low,31.71158323870106,1
1,20,0.0,0.0,1,0,0.0,55.09632026216189,1,0,mid,55.09632026216189,1
1,21,0.0,0.0,1,2,0.0,54.35710888447196,2,0,low,54.35710888447196,1
1,22,0.0,0.024,1,3,793.0079943072717,42.25784293208721,1,0,high,42.25784293208721,1
1,23,0.0,0.0,1,0,0.0,54.51184839245718,2,0,mid,54.51184839245718,1
1,24,0.0,0.008,1,1,99.23214191938771,56.31153106962372,1,0,mid,56.31153106962372,1
1,25,0.0,0.0,1,0,0.0,39.95457224936491,0,0,mid,39.95457224936491,1
1,26,0.0,0.008,1,2,99.34769520452863,61.64682668679413,1,0,low,61.64682668679413,1
1,27,0.0,0.008,1,1,99.37122784183184,29.14680921105338,2,0,mid,29.14680921105338,1
1,28,0.0,0.016,1,2,298.88195552796134,54.780641221643535,1,0,mid,54.780641221643535,1
1,29,0.0,0.016,1,2,298.87093475456214,57.09271937733603,1,0,high,57.09271937733603,1
1,30,0.0,0.0,1,0,0.0,62.99555574590579,0,0,mid,62.99555574590579,1
1,31,0.0,0.0,1,0,0.0,59.11554558624245,0,0,mid,59.11554558624245,1
1,32,0.0,0.008,1,1,99.2031088997935,48.52979257000823,1,0,mid,48.52979257000823,1
1,33,0.0,0.008,1,1,99.57519533068123,34.14653103600796,1,0,mid,34.14653103600796,1
1,34,0.0,0.0,1,0,0.0,58.569046448644144,0,0,high,58.569046448644144,1
1,35,0.0,0.0,1,2,0.0,73.72730496082413,0,0,low,73.72730496082413,1
1,36,0.0,0.008,1,1,99.17597982926773,56.30981616514709,2,0,mid,56.30981616514709,1
1,37,0.0,0.008,1,1,99.61607629506427,46.05535615028982,1,0,mid,46.05535615028982,1
1,38,0.0,0.008,1,1,99.71087734654904,76.95907311823882,1,0,mid,76.95907311823882,1
1,39,0.0,0.0,1,0,0.0,48.38492102671339,0,0,high,48.38492102671339,1
1,40,0.0,0.008,1,2,99.35811210506736,82.92575390674675,2,0,low,82.92575390674675,1
1,41,0.0,0.016,1,2,298.94655708738287,31.22755224177278,1,0,mid,31.22755224177278,1
1,42,0.0,0.0,1,0,0.0,78.08410912389108,0,0,high,78.08410912389108,1
1,43,0.0,0.0,1,2,0.0,66.49140865786522,0,0,low,66.49140865786522,1
1,44,0.0,0.0,1,0,0.0,68.8143798411681,0,0,mid,68.8143798411681,1
1,45,0.0,0.008,1,1,99.56817329582444,51.468463525178116,1,0,mid,51.468463525178116,1
1,46,0.0,0.008,1,2,99.38945872653957,51.19916746370851,1,0,low,51.19916746370851,1
1,47,0.0,0.0,1,0,0.0,51.87685820558445,0,0,mid,51.87685820558445,1
1,48,0.0,0.024,1,3,797.1688217373728,34.52619290097116,1,0,high,34.52619290097116,1
1,49,0.0,0.0,1,0,0.0,37.20212676608373,0,0,mid,37.20212676608373,1
1,50,0.0,0.0,1,2,0.0,49.03808653478505,0,0,low,49.03808653478505,1
1,51,0.0,0.0,1,0,0.0,54.2501013540157,0,0,high,54.2501013540157,1
1,52,0.0,0.008,1,2,99.44429948233699,60.827002913994576,1,0,low,60.827002913994576,1
1,53,0.0,0.008,1,2,99.52828945643509,38.96414815480046,1,0,low,38.96414815480046,1
1,54,0.0,0.008,1,2,98.49940624683556,52.10492234632977,3,0,low,52.10492234632977,1
1,55,0.0,0.0,1,2,0.0,32.26029211914127,0,0,low,32.26029211914127,1
1,56,0.0,0.0,1,0,0.0,72.55838013148598,0,0,mid,72.55838013148598,1
1,57,0.0,0.0,1,2,0.0,22.83960806113843,1,0,low,22.83960806113843,1
1,58,0.0,0.008,1,2,99.83505117953162,19.153146978546474,2,0,low,19.153146978546474,1
1,59,0.0,0.008,1,1,99.36764766121951,37.686820483454724,2,0,mid,37.686820483454724,1
2,0,0.0,0.031744,1,2,291.15461362009404,72.22013535051592,4,0,mid,72.22013535051592,1
2,1,0.0,0.015936,1,1,99.66456847771755,44.11039480107373,1,0,mid,44.11039480107373,1
2,2,0.0,0.0,1,0,0.0,45.77400119966881,0,0,high,45.77400119966881,1
2,3,0.0,0.0,1,2,100.0,58.131362269990305,0,0,low,58.131362269990305,1
2,4,0.0,0.008,1,2,99.51325166632584,43.51468468219812,1,0,low,43.51468468219812,1
2,5,0.0,0.008,1,0,98.97271048039428,48.55960648148632,4,0,mid,48.55960648148632,1
2,6,24.91881355731227,0.047424,1,3,784.1898092554503,46.68401787745593,1,0,high,46.68401787745593,1
2,7,44.875911694421326,0.031744,1,2,295.3336000612434,75.90439093632743,0,0,high,75.90439093632743,1
2,8,0.0,0.015936,1,1,199.35481842277534,32.315497211979476,3,0,mid,32.315497211979476,1
2,9,0.0,0.008,1,1,99.10255715785893,63.590553275323586,2,0,mid,63.590553275323586,1
2,10,0.0,0.008,1,2,298.8379133121037,44.74221922540125,3,0,low,44.74221922540125,1
2,11,0.0,0.0,1,0,0.0,51.74379655045869,0,0,mid,51.74379655045869,1
2,12,0.0,0.008,1,1,98.83494697063709,38.82691156379115,2,0,mid,38.82691156379115,1
2,13,0.0,0.015936,1,1,98.54132948223814,52.95166173299763,2,0,mid,52.95166173299763,1
2,14,0.0,0.008,1,1,99.50616055350484,29.633074645982923,2,0,mid,29.633074645982923,1
2,15,37.05162025712847,0.016,1,2,293.92274868220005,88.04661646039713,2,0,high,88.04661646039713,1
2,16,0.0,0.008,1,2,98.31299139846124,68.04699908920749,3,0,low,68.04699908920749,1
2,17,30.527737989096405,0.015936,1,1,98.82139438641585,47.71271183123947,0,0,mid,47.71271183123947,1
2,18,70.20428349677312,0.047424,1,3,791.7540425861762,51.36402058857905,0,0,high,51.36402058857905,1
2,19,0.0,0.008,1,2,99.41180437354366,31.71158323870106,1,0,low,31.71158323870106,1
2,20,0.0,0.0,1,0,0.0,55.09632026216189,1,0,mid,55.09632026216189,1
2,21,0.0,0.0,1,2,0.0,54.35710888447196,2,0,low,54.35710888447196,1
2,22,35.690890808395494,0.047424,1,3,783.2736274606036,42.25784293208721,1,0,high,42.25784293208721,1
2,23,0.0,0.0,1,0,99.71420143939197,54.51184839245718,4,0,mid,54.51184839245718,1
2,24,27.36521489871094,0.015936,1,1,98.46428383877543,56.31153106962372,0,0,mid,56.31153106962372,1
2,25,0.0,0.0,1,0,0.0,39.95457224936491,0,0,mid,39.95457224936491,1
2,26,35.10685487865215,0.015936,1,2,198.69539040905727,61.64682668679413,0,0,low,61.64682668679413,1
2,27,0.0,0.015936,1,1,98.74245568366368,29.14680921105338,2,0,mid,29.14680921105338,1
2,28,0.0,0.031744,1,2,297.7639110559227,54.780641221643535,1,0,mid,54.780641221643535,1
2,29,0.0,0.031744,1,2,296.75016401702896,57.09271937733603,2,0,high,57.09271937733603,1
2,30,0.0,0.0,1,0,0.0,62.99555574590579,0,0,mid,62.99555574590579,1
2,31,0.0,0.0,1,0,0.0,59.11554558624245,0,0,mid,59.11554558624245,1
2,32,22.934412418739825,0.015936,1,1,98.40621779958701,48.52979257000823,0,0,mid,48.52979257000823,1
2,33,0.0,0.015936,1,1,99.15039066136245,34.14653103600796,1,0,mid,34.14653103600796,1
2,34,0.0,0.024,1,3,796.4270181662057,58.569046448644144,1,0,high,58.569046448644144,1
2,35,0.0,0.0,1,2,100.0,73.72730496082413,0,0,low,73.72730496082413,1
2,36,36.236077919263884,0.015936,1,1,98.10219927576098,56.30981616514709,2,0,mid,56.30981616514709,1
2,37,0.0,0.015936,1,1,99.23215259012855,46.05535615028982,1,0,mid,46.05535615028982,1
2,38,0.0,0.015936,1,1,98.69852076380624,76.95907311823882,3,0,mid,76.95907311823882,1
2,39,0.0,0.0,1,0,0.0,48.38492102671339,1,0,high,48.38492102671339,1
